"","class","posterior.0","posterior.1"
"1","1",0.0537563954983792,0.946243604501621
"2","1",0.000393148747220203,0.99960685125278
"3","0",0.941774803867896,0.058225196132104
"4","0",0.964514489609223,0.0354855103907768
"5","0",0.972018006079076,0.0279819939209245
"6","0",0.96823051326609,0.0317694867339103
"7","0",0.956885006079544,0.0431149939204557
"8","1",9.42632146127225e-06,0.999990573678539
"9","1",0.117028554650079,0.882971445349921
"10","1",0.153546691737298,0.846453308262702
"11","1",0.0870471190426886,0.912952880957311
"12","0",0.939211073676558,0.0607889263234424
"13","0",0.906843431248822,0.0931565687511783
"14","1",0.0210686059429722,0.978931394057028
"15","0",0.889962048523808,0.110037951476192
"16","0",0.975927220649211,0.0240727793507889
"17","0",0.502821939436668,0.497178060563332
"18","0",0.905130983513484,0.0948690164865157
"19","1",0.00027531227745149,0.999724687722549
"20","0",0.874157085240945,0.125842914759055
"21","1",0.0222319180627841,0.977768081937216
"22","0",0.873031153771283,0.126968846228717
"23","1",2.56297331296992e-05,0.99997437026687
"24","1",0.0387174417971948,0.961282558202805
"25","1",0.175194382325077,0.824805617674923
"26","0",0.999333917488824,0.000666082511176238
"27","0",0.967127633657057,0.0328723663429427
"28","1",6.53391626332516e-07,0.999999346608374
"29","1",0.0664886354170112,0.933511364582989
"30","1",0.006051438162859,0.993948561837141
"31","0",0.994421681740388,0.00557831825961218
"32","0",0.987496237652804,0.0125037623471957
"33","1",0.00212143996222626,0.997878560037774
"34","1",0.000256174909199017,0.999743825090801
"35","1",4.11639113569149e-06,0.999995883608864
"36","0",0.999947655607699,5.23443923006194e-05
"37","1",0.0239712674852634,0.976028732514737
"38","0",0.99942839288847,0.000571607111529847
"39","1",0.112864835283483,0.887135164716517
"40","1",0.172842216793161,0.827157783206839
"41","0",0.99109122908347,0.00890877091653026
"42","1",0.00178661713653496,0.998213382863465
"43","1",0.355105140255687,0.644894859744313
"44","0",0.960004499072143,0.0399955009278574
"45","1",0.0077715426237139,0.992228457376286
"46","0",0.962739611846431,0.0372603881535691
"47","0",0.647901357963166,0.352098642036834
"48","1",0.00353304842442729,0.996466951575573
"49","0",0.998215867944664,0.00178413205533597
"50","0",0.504320150013561,0.495679849986439
"51","0",0.959433643879985,0.040566356120015
"52","0",0.992697971689115,0.0073020283108852
"53","0",0.999947403122246,5.25968777545437e-05
"54","1",0.00239481167489467,0.997605188325105
"55","0",0.999996902765363,3.0972346367834e-06
"56","0",0.95602581673919,0.0439741832608096
"57","0",0.998054744115386,0.0019452558846142
"58","1",0.00582691106361437,0.994173088936386
"59","0",0.988208170522683,0.0117918294773166
"60","1",0.351345647603805,0.648654352396195
"61","1",1.28077091911572e-06,0.999998719229081
"62","0",0.829067129629926,0.170932870370074
"63","0",0.961058059833866,0.0389419401661342
"64","1",0.2433292065029,0.7566707934971
"65","0",0.999921586387487,7.84136125130245e-05
"66","1",0.00497828949196655,0.995021710508033
"67","1",0.0415815348057598,0.95841846519424
"68","0",0.993899335926122,0.00610066407387821
"69","0",0.994067185061026,0.0059328149389738
